,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,valutazione
42,CasaFè tra sogno e realtà (CasaFe tra sogno e realta),"9,6",Eccezionale,106 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",132 €,,"Narni, Narni ",4
43,Asso Residence Ospedale,"8,9",Fantastico,1.300 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",89 €,,"Terni, Terni ",3
44,Rosy Bed&Breakfast,"9,3",Eccezionale,328 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",77 €,,"Terni, Terni ",4
45,M&M’s Home,"10,0",Eccezionale,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",85 €,,"Terni, Terni ",3
46,Bice house,"8,9",Fantastico,19 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",144 €,,"Terni, Terni ",5
47,Dolce Nera B&B,"8,8",Fantastico,195 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",80 €,,"Narni, Narni ",3
48,Sangemini Home,"7,9",Ottimo,64 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",75 €,,"San Gemini, San Gemini ",3
49,Mamma Giulia,"9,6",Eccezionale,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",65 €,,"Stroncone, Stroncone ",3
50,Umbriahouse,"9,7",Eccezionale,66 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",129 €,,"Terni, Terni ",5
51,Loft di Benedetta,"9,5",Eccezionale,52 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",1.014 €,,"Narni, Narni ",5
52,Casale Viridi - nel fresco delle colline Umbre,"9,0",Eccezionale,806 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",100 €,,"Narni, Narni ",4
53,A L'Aquila per un sogno,"10,0",Eccezionale,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",111 €,,"Terni, Terni ",3
54,Asso Residence Centro,"9,2",Eccezionale,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",81 €,,"Terni, Terni ",3
55,Lu Renge,"8,2",Fantastico,36 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",131 €,,"Narni, Narni ",4
56,White,"8,8",Fantastico,223 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",67 €,,"Terni, Terni ",3
57,G&Gapartment,"7,9",Ottimo,91 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",129 €,,"Terni, Terni ",4
58,A casa di Alma,"9,4",Eccezionale,106 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",81 €,,"Terni, Terni ",3
59,Marmore Charming House,"9,5",Eccezionale,450 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",122 €,,"Terni, Terni ",4
60,Cozy 55-m2 flat close to the countryside in Narni,"8,6",Fantastico,49 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",109 €,,"Narni, Narni ",5
61,La Severa,"9,5",Eccezionale,49 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",94 €,,"Terni, Terni ",5
62,Acqua Marmore,"9,0",Eccezionale,81 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",125 €,,"Terni, Terni ",4
63,Appartamenti Natura e Terra Marmore,"9,1",Eccezionale,130 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",113 €,,"Terni, Terni ",4
64,Luce Marmore,"9,1",Eccezionale,45 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",162 €,,"Terni, Terni ",4
65,Aria Marmore,"9,3",Eccezionale,36 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",153 €,,"Terni, Terni ",4
66,Agriturismo Madre Terra,"8,8",Fantastico,89 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",138 €,,"Narni, Narni ",5
67,Welcome home,"9,6",Eccezionale,56 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",87 €,,"Terni, Terni ",4
68,La casa di Bianca,"9,3",Eccezionale,35 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",126 €,,"Terni, Terni ",3
69,La casa di Emma,"9,4",Eccezionale,88 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",94 €,,"Terni, Terni ",4
70,Asso Residence Stazione,"8,1",Fantastico,58 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",94 €,,"Terni, Terni ",3
71,Salute Apartments,"8,9",Fantastico,123 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",103 €,,"Terni, Terni ",5
