,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,indirizzo,valutazione
34,Hotel Artis,"7,9",Ottimo,446 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€85,"Appio Latino, Roma - A 6,0 km dal centro",4
35,Hotel Villafranca,"8,1",Fantastico,1.956 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€162,"Stazione centrale Roma Termini, Roma - In pieno centro",4
36,Genova Hotel,"8,3",Fantastico,2.602 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€179,"Stazione centrale Roma Termini, Roma - In pieno centro",4
37,Family House Hotel,"7,1",Ottimo,480 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€76,"Stazione centrale Roma Termini, Roma - In pieno centro",1
38,Hotel Ripa Roma,"8,2",Fantastico,3.462 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€122,"Trastevere, Roma - A 0,5 km dal centro",4
39,Hotel Tiber,"8,5",Fantastico,4.909 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€156,"Aeroporto di Fiumicino, Roma - A 23,9 km dal centro",4
40,LH Hotel Roma Montemario,"7,9",Ottimo,3.973 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€75,"Trionfale, Roma - A 3,0 km dal centro",4
41,Hilton Garden Inn Rome Airport,"7,9",Ottimo,329 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€191,"Aeroporto di Fiumicino, Roma - A 18,8 km dal centro",4
42,Grand Hotel Fleming by OMNIA hotels,"7,8",Ottimo,2.798 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€121,"Flaminio e Parioli, Roma - A 3,2 km dal centro",4
43,Hotel Napoleon,"8,1",Fantastico,1.187 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€122,"Stazione centrale Roma Termini, Roma - In pieno centro",4
44,Hotel Champagne Palace,"6,8",Buono,1.557 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€151,"Stazione centrale Roma Termini, Roma - In pieno centro",4
45,SOTEL NOMENTANA,"6,8",Buono,1.550 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€74,"Roma Est, Roma - A 5,3 km dal centro",3
46,Windrose Hotel,"8,4",Fantastico,506 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€169,"Stazione centrale Roma Termini, Roma - In pieno centro",3
47,Gialel B&B,"7,3",Ottimo,152 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€91,"Via Veneto, Roma - In pieno centro",4
48,Hotel Relais Castrum Boccea,"8,0",Fantastico,705 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€156,"Boccea, Roma - A 13,1 km dal centro",4
49,Hotel Varese,"8,7",Fantastico,3.121 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€150,"Stazione centrale Roma Termini, Roma - In pieno centro",4
50,Hotel Agora,"7,5",Ottimo,2.638 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€92,"Stazione centrale Roma Termini, Roma - In pieno centro",3
51,Torino Hotel,"7,0",Ottimo,2.016 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€112,"Stazione centrale Roma Termini, Roma - In pieno centro",4
52,Hotel Igea,"7,7",Ottimo,3.916 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€139,"Stazione centrale Roma Termini, Roma - In pieno centro",3
53,THE INDEPENDENT HOTEL,"8,8",Fantastico,2.496 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€162,"Stazione centrale Roma Termini, Roma - In pieno centro",4
54,Isa Fiumicino Airport Residence,"8,1",Fantastico,3.230 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€102,"Aeroporto di Fiumicino, Roma - A 23,3 km dal centro",3
55,Mercure Rome Leonardo da Vinci Airport,"8,0",Fantastico,9.501 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€127,"Aeroporto di Fiumicino, Roma - A 22,8 km dal centro",4
56,Hotel Shangri-La Roma by OMNIA hotels,"8,6",Fantastico,2.139 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€199,"Eur e Garbatella, Roma - A 7,2 km dal centro",4
57,B&B Hotel Roma San Lorenzo Termini,"8,4",Fantastico,1.883 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€129,"Stazione centrale Roma Termini, Roma - A 0,7 km dal centro",3
58,Residenza Ki,"7,9",Ottimo,1.593 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€166,"Fontana di Trevi, Roma - In pieno centro",3
59,Hotel Cilicia,"7,6",Ottimo,168 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€110,"Appio Latino, Roma - A 1,1 km dal centro",3
60,Hotel Des Epoques,"7,9",Ottimo,612 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€89,"Nomentano, Roma - A 0,2 km dal centro",4
61,Luxury Rooms H 2000 Roma,"7,5",Ottimo,206 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€121,"Fontana di Trevi, Roma - In pieno centro",3
62,Aparthotel Colombo Roma,"8,9",Fantastico,78 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€172,"Eur e Garbatella, Roma - A 1,6 km dal centro",3
63,Hotel Sant'Angelo,"8,0",Fantastico,22 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€144,"Città del Vaticano, Roma - In pieno centro",3
64,The Cross hotel,"8,5",Fantastico,4.188 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€222,"Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",4
65,Hotel Antico Acquedotto,"6,7",Buono,289 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€81,"Roma Est, Roma - A 1,8 km dal centro",3
66,Hotel Tempio Di Pallade,"7,8",Ottimo,1.332 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€89,"Stazione centrale Roma Termini, Roma - A 71 m dal centro",3
67,Guest House La Casa Di Amy,"9,0",Eccezionale,2.743 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€153,"Stazione centrale Roma Termini, Roma - In pieno centro",3
68,Camplus Hotel Roma Centro,"8,8",Fantastico,4.074 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€178,"Stazione centrale Roma Termini, Roma - In pieno centro",3
69,Hotel Bolognese,"6,9",Buono,813 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€104,"Stazione centrale Roma Termini, Roma - In pieno centro",2
70,Bettoja Massimo D'Azeglio Hotel,"8,5",Fantastico,2.116 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€168,"Stazione centrale Roma Termini, Roma - In pieno centro",4
71,Genio Hotel,"8,3",Fantastico,432 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€146,"Piazza Navona, Roma - In pieno centro",4
72,Hotel Caravel,"8,2",Fantastico,1.649 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€116,"Eur e Garbatella, Roma - A 1,6 km dal centro",4
73,Hotel St Martin by OMNIA hotels,"8,7",Fantastico,1.513 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€159,"Stazione centrale Roma Termini, Roma - In pieno centro",4
74,Noba Hotel e Residenze,"8,3",Fantastico,1.948 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€117,"Nomentano, Roma - A 3,2 km dal centro",3
75,Hotel Valle,"6,9",Buono,377 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€114,"Monti, Roma - In pieno centro",3
76,BV Hotel Oly,"7,8",Ottimo,1.745 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€130,"Eur e Garbatella, Roma - A 3,3 km dal centro",4
77,Hotel Pace Helvezia,"8,2",Fantastico,689 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€209,"Colosseo e Foro Romano, Roma - In pieno centro",4
78,Infinity Hotel St. Peter,"8,2",Fantastico,44 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€79,"Città del Vaticano, Roma - In pieno centro",3
79,LH Hotel Andreotti,"8,7",Fantastico,3.714 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€108,"Stazione centrale Roma Termini, Roma - In pieno centro",3
80,Bettoja Atlantico Hotel,"8,5",Fantastico,1.636 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€504,"Stazione centrale Roma Termini, Roma - In pieno centro",4
81,Hotel Farini,"7,4",Ottimo,315 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€105,"Stazione centrale Roma Termini, Roma - In pieno centro",2
82,Hotel Piemonte,"7,9",Ottimo,2.021 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€155,"Stazione centrale Roma Termini, Roma - In pieno centro",3
83,Hotel Center 2,"6,9",Buono,3.539 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€142,"Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",3
84,Colonna Palace Hotel,"8,5",Fantastico,840 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€203,"Pantheon, Roma - In pieno centro",4
